,ID,Username,Date,Retweet,Tweet,Hashtags,RT,SA,Float
0,1092708745333723137,cahadiyat,2019-02-05 08:57:21,Akhirnya UAS bicara Begitu keras nya UAS membantahnya kali ini Yang bayar gajimu siapa Allah yg bayar Jangan sombong jangan angkuh Hey junjunganmu itu bukan Tuhan,,,808,Positif,0.8679341673851013
0,1092708700626640896,abangpeni,2019-02-05 08:57:10,Mantul cik koh,,2019PRABOWOPRESIDEN 2019GANTIPRESIDEN 2019PrabowoSandi 2019PrabowoPresiden ,134,Positif,0.7787083983421326
0,1092708661992935424,cahadiyat,2019-02-05 08:57:01,Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menepis keyakinan masy kcl ingin jkw priode No Kenyataannya di lap masy justru sgt realistis amp sdh muak dg kondisi hidup mereka saat ini,,,189,Negatif,0.25189176201820374
0,1092708583018393600,bajigurceleng,2019-02-05 08:56:42,Yth Pemerintah dan Rakyat Rusia cq Ibu Dubes Rusia di Jakarta Kami mohon maaf atas ucapan yg tdk sepatutnya dr salah seorang tokoh politik dr negara kami Yakinlah bhw itu bukan mewakili suara rakyat Indonesia Sbg bukti permohonan maaf maka kami bertekad,,,52,Positif,0.9782789349555969
0,1092708521999708160,Serulingbambu4,2019-02-05 08:56:27,,IBHRS mhd tetap mau digiring opini seperti apapun rakyaberdaulat menentukan siapa yang pantas dan mampu menjadi pemimpin,2019GantiPresiden rakyaberdaulat 17AprilCoblosPrabowoSandi ,0,Positif,0.9870629906654358
0,1092708378663518208,enigma_nikenko,2019-02-05 08:55:53,Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menepis keyakinan masy kcl ingin jkw priode No Kenyataannya di lap masy justru sgt realistis amp sdh muak dg kondisi hidup mereka saat ini,,,189,Negatif,0.25189176201820374
0,1092708343146115073,mahdlarmy,2019-02-05 08:55:45,,,2019gantipresiden 2019prabowopresidenRI ,0,Positif,0.7787083983421326
0,1092708290348363776,AhmadSuaib77,2019-02-05 08:55:32,,Tiga Dokter Terancam Dipecat karena Pakai Ikat Kepala Warganet Asal Solo Rasa Korea Utara,2019GantiPresiden ,0,Negatif,0.029301824048161507
0,1092708237227376640,JRD29258435,2019-02-05 08:55:19,Tiga Dokter Terancam Dipecat karena Pakai Ikat Kepala Warganet Asal Solo Rasa Korea Utara,,2019GantiPresiden ,35,Negatif,0.029301824048161507
0,1092708190691614720,BontotBanten,2019-02-05 08:55:08,Dengerin nih junjungan lu BONG Sekelas petahana ngomong didepan jinjingannya narasinya cuma ratna ratna Lu kan punya prestasi katanya Keluarin dong didepan pendukungmu Jae Dari dulu narasinya provokator mulu,,,529,Positif,0.8722349405288696
0,1092708099012448256,Anisfuad74gmai1,2019-02-05 08:54:46,,,2019GantiPresiden ,0,Positif,0.7787083983421326
0,1092707985334296577,Ibnusrifa,2019-02-05 08:54:19,Pesan Perjuangan Calon Presiden RI H Prabowo Subianto kepada Emak Emak dan Relawan IndonesiaMenang,,2019PrabowoPresidenRI ,20,Negatif,0.0028211623430252075
0,1092707641560682496,z4ied,2019-02-05 08:52:57,Yang Retwit atau like amp komen ku follow SalingFollow,,2019GantiPresiden SalingFollow 2019PrabowoSandi ,2224,Negatif,0.040639303624629974
0,1092707576611893255,Bansul2,2019-02-05 08:52:42,Menurut sobat twips paslon mana yang didukung oleh KH Maimoen Zubair Setelah vote tolong di Retweet yah biar seru JokowiLagi RomiMakelarDoa,,,444,Positif,0.860170841217041
0,1092707494105776129,and13er,2019-02-05 08:52:22,Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menepis keyakinan masy kcl ingin jkw priode No Kenyataannya di lap masy justru sgt realistis amp sdh muak dg kondisi hidup mereka saat ini,,,189,Negatif,0.25189176201820374
0,1092707329932288000,awinkrafael,2019-02-05 08:51:43,Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menepis keyakinan masy kcl ingin jkw priode No Kenyataannya di lap masy justru sgt realistis amp sdh muak dg kondisi hidup mereka saat ini,,,189,Negatif,0.25189176201820374
0,1092707157076660224,Yogihape,2019-02-05 08:51:02,,Kami bersamamu pak,2019GantiPresiden 2019PrabowoPresiden 2019PrabowoSandi ,0,Netral,0.5101515650749207
0,1092706891388542976,Partono_ADjem,2019-02-05 08:49:59,Izinkan sy brcerita di bwh soal akr rumput ini abng gojek kakek penjual buku amp mb pelayan warung Semoga mmbantu menepis keyakinan masy kcl ingin jkw priode No Kenyataannya di lap masy justru sgt realistis amp sdh muak dg kondisi hidup mereka saat ini,,,189,Negatif,0.25189176201820374
0,1092706759288844288,RufAnshori,2019-02-05 08:49:27,Yang Retwit atau like amp komen ku follow SalingFollow,,2019GantiPresiden SalingFollow 2019PrabowoSandi ,2224,Negatif,0.040639303624629974
0,1092706615164252161,SHusnianingsih,2019-02-05 08:48:53,Prabowo bilang ia tidak menopang khilafah namun nyatanya Ia mengerti tagar merupakan tagar yang ditunggangi HTI bagikan viralkan sebarkan CapresBunglon,,2019gantipresiden ,6,Negatif,0.0012105146888643503
0,1092706565621084161,bib3guna,2019-02-05 08:48:41,Yth Pemerintah dan Rakyat Rusia cq Ibu Dubes Rusia di Jakarta Kami mohon maaf atas ucapan yg tdk sepatutnya dr salah seorang tokoh politik dr negara kami Yakinlah bhw itu bukan mewakili suara rakyat Indonesia Sbg bukti permohonan maaf maka kami bertekad,,,52,Positif,0.9782789349555969
0,1092706487799967744,Adypratama_AP,2019-02-05 08:48:22,,Dan please mbak jangan sok tau sama pansus hak angket KPK kalo situ gak ngerti seluk beluknya aduh kayak gini kok mo jadi caleg darurat caleg cerdas berintegritas jujur dan amanah Eh tambah satu bertaqwa kepada Tuhan yang maha Esa HoaxPropagandaRusia,HoaxPropagandaRusia 2019GantiPresiden ,0,Positif,0.9829347729682922
