,IDrts,IDR,Username,Date,Retweet,Hashtags,RT,SA,Float
0,1092834676639580161,1092834899961077760,dedihermanto813,2019-02-05 17:18:38,RT Dengar Lagu Nissa Sabyan Sandi Saya Sangat Terhanyut dan Tergetar,,5,Positif,0.9909713268280029
0,1092822870701436928,1092834768322887680,bramastakoe,2019-02-05 17:18:07,RT Bupati Kotim Kader PDIP Korupsi Rugikan Negara Rp Triliun Bupati Kotawaringin Timur Kalimantan Tengah Supian Hadi dit,,12,Positif,0.9514967799186707
0,1043548197828800512,1092834745782661121,kang_jidek,2019-02-05 17:18:01,RT Siapa Calon Presiden Pilihan Anda No Like No Retweet AdilMakmur IndonesiaMaju,AdilMakmur IndonesiaMaju 2019GantiPresiden ,177,Positif,0.9070214629173279
0,1092074616271429634,1092834639838756864,boeby_brown,2019-02-05 17:17:36,RT Menurut sobat twips paslon mana yang didukung oleh KH Maimoen Zubair Setelah vote tolong di Retweet yah biar seru,,472,Positif,0.860170841217041
0,1092822870701436928,1092834351572643841,michsan92052772,2019-02-05 17:16:27,RT Bupati Kotim Kader PDIP Korupsi Rugikan Negara Rp Triliun Bupati Kotawaringin Timur Kalimantan Tengah Supian Hadi dit,,12,Positif,0.9514967799186707
0,1092576804798291970,1092833973288394752,RutkafAzouk,2019-02-05 17:14:57,RT ALAMPUN SDH TAK BERSAHABAT Angin puting beliung mnrjng acara Istighosah Kubro u Pemenangan Jokowi Ma ruf Amin di Gdng Is,,14,Positif,0.7094528079032898
0,1092821981307625472,1092833897073668096,CanafAbiRaz,2019-02-05 17:14:39,RT Ta kira yng laporin rocky gerung inteleknya mantap eehh orng ini pingin nebeng tenar ternya,,3,Negatif,0.10472898930311203
0,1090262434357534720,1092833563425140736,ronnysyah_,2019-02-05 17:13:20,RT Si tukang lapor haha mau jadiin target slow aja prof dia cebong AhmadDhaniKorbanRezim,AhmadDhaniKorbanRezim ,20,Negatif,0.3260617256164551
0,1092822870701436928,1092833355098349568,handhi99,2019-02-05 17:12:30,RT Bupati Kotim Kader PDIP Korupsi Rugikan Negara Rp Triliun Bupati Kotawaringin Timur Kalimantan Tengah Supian Hadi dit,,12,Positif,0.9514967799186707
0,1092780478376009730,1092833117864251393,MaskuMasku1,2019-02-05 17:11:33,RT Kalo untuk kubu mereka dan simpatisannya apa sih yg ngga boleh bang Mau tdk sesuai kode etik tdk sesuai atu,,8,Positif,0.9172185063362122
